,diameter,orientation,length,pos_below_wire,pos_horizontal,internode_length,node_count,parent_type,diameter_norm,length_norm,internode_length_norm,node_count_norm,y,side,group_id
282,0.008546964265406132,0.32731730051106755,1.1782662868499756,0.20599538087856217,0.06065612472593784,0.08927753879629981,12,Bearer,1.5681690341653183,0.5254794956720664,1.73502249270488,-1.0485153049750544,False,right,135
283,0.0069978018291294575,0.5086133160567377,1.110594630241394,0.1979552507398239,-0.28724147379398346,0.08578659005773884,12,Bearer,-0.5058988670367076,0.417969660749982,1.7727338440186493,-0.7792878336794045,False,left,60
284,0.008028147742152214,0.4880906595128336,1.1847991943359375,0.021457076072891823,-0.19105019280686975,0.05645003940472916,17,Bearer,0.2067220995037961,0.34494520743124085,-0.22944328527477595,0.1591197800876738,False,left,136
285,0.007048935629427433,0.12789589936635934,1.1161906719207764,0.10435605049133301,0.11419893801217995,0.06705360882004019,13,Bearer,-0.20304837267511922,0.29545534117754185,0.37142585368278874,-0.41362591629552026,False,right,125
286,0.008444424718618393,0.20886231275056436,1.044013500213623,0.06198638677597046,-0.11274853380746208,0.08636323564615667,12,Bearer,1.6437442574593943,0.0001902837403049966,1.7666406402871002,-1.1360702676647079,False,left,42
287,0.007911131717264652,-0.07838302819412511,1.171107292175293,0.2656812071800232,-0.07394907251000404,0.08003353780735867,12,Bearer,1.0778130914129522,0.7555481804671158,1.3486097186906008,-0.7792878336794045,False,left,60
288,0.007636217400431633,-0.22849218414075959,1.0230534076690674,0.21379756927490234,-0.08164720993954688,0.06040645137438115,17,Spur,0.03975752094511139,-0.49795607715305984,0.10246307971453943,0.26153436890101023,False,left,74
289,0.007984618656337261,0.08270143825642974,1.007201910018921,0.24818754196166992,0.021625645458698273,0.03737260390439207,20,Spur,0.470272732090608,-0.39404090495000854,-1.3194227392768818,1.2643333839926698,False,right,95
290,0.007164428010582924,0.022506084379847777,1.1283873319625854,0.1728618146153167,-0.05862271785736084,0.0729563438257536,15,Spur,-0.257919836693424,0.42411643304351526,0.8077134459138979,-0.2529687215080819,True,left,48
291,0.007237880956381559,0.1727599968844236,0.9287732839584351,0.021219313144683838,-0.07120277767535299,0.08614108702352385,10,Bearer,-0.09830124677613604,-0.8158304521465907,1.7784941754916632,-1.7613469688987897,False,left,34
292,0.008160125464200974,0.1925589977780044,1.238039493560791,0.1289383172988039,-0.14283744106069207,0.07041415835778388,16,Bearer,0.427005021496327,0.664129599671638,0.6667567377646965,-0.13018891098082364,False,left,136
293,0.00852248165756464,0.4279009113721236,1.166471242904663,0.23920118797104806,-0.03392569441348314,0.06546084353122207,17,Trunk,1.4101515659918293,0.5656085794792309,0.5197639994620293,0.1054092553389456,False,right,115
294,0.008354825899004936,-0.08799639275018672,0.4456561803817749,0.1993145941523835,0.03139593452215195,0.05955482014493224,6,Trunk,1.228180004162094,-2.66480449073545,0.02185261850146216,-2.0024509582070036,False,right,159
295,0.007447503507137299,0.19663213080902084,1.1301469802856445,0.2996324300765991,-0.0497310085920617,0.04054422230689554,20,Trunk,-0.3979626409529114,0.4498801127182102,-1.127777011568159,1.2643333839926698,False,left,94
296,0.007663654163479805,-0.6667008480438888,1.348983883857727,0.27817898988723755,0.04744273406686261,0.06618735875998302,18,Spur,0.7356600301802139,1.4427030647521073,0.3769707697637092,0.6689018910744823,False,right,31
297,0.007664979435503483,0.38190526772857014,1.0386494398117065,0.11066609597764909,-0.0050924422685056925,0.07164260767808414,13,Spur,0.41997209492599197,-0.2497734466137564,0.7313809784662761,-0.799824747159166,False,right,121
298,0.007257753051817417,0.5407256738098235,1.111975908279419,-0.01633059978488105,0.20352976024150848,0.06199531096925792,15,Bearer,0.2057011588913662,0.26840774440218595,0.08653290876207091,-0.1529670391542108,False,right,147
299,0.0073084356263279915,0.27058830270582396,1.0375921726226807,0.19893312454235001,-0.30380401760339737,0.07982950933001083,12,Bearer,0.10262686093647876,-0.17846884788949513,1.1871649606603423,-0.9263701464196136,False,left,44
300,0.007785864174365997,0.10745446315701093,1.0809248685836792,0.17046046239556745,-0.06480838358402252,0.06802690996975232,15,Spur,0.6584531307410637,0.4906274075330884,0.6116410477666264,-0.27798346294315296,False,left,82
301,0.00791431125253439,0.8219538885153893,1.2095093727111816,0.22413671016681747,-0.19353416562080383,0.09549621353400428,12,Bearer,0.9130527047222209,0.8203524239706955,2.2720308288115496,-0.9455337363313293,False,left,152
302,0.007898064330220222,0.18315191794957889,1.1497766971588135,0.29607689392287284,-0.026774823665618896,0.06001451050900574,16,Trunk,0.5849282417733445,0.5005902173921992,0.07843035787419575,0.00737450292916401,False,left,80
303,0.006978774443268776,-0.7899132238045862,1.1609209775924683,0.26518565416358797,-0.07885039597726973,0.09615909809140007,11,Bearer,-0.21894371324273582,0.4310886513068411,2.3048055347300975,-1.1811680213825815,False,left,90
304,0.006918668746948242,0.4450242501702905,1.1950817108154297,0.14635837078083114,-0.19848454371094704,0.08723758791881975,11,Bearer,-0.5014912641250664,0.6368941436554933,1.6684556071527008,-1.022222336482336,False,left,20
305,0.008419317193329334,0.013218134293614741,1.6428003311157227,0.16026055824477226,-0.0708136148750782,0.047396114921262396,27,Trunk,2.0567515955931603,3.249079764690621,-0.9918399053010543,3.0389389698587324,False,right,165
306,0.008050895296037197,0.08029854179299528,0.9516820907592773,0.0004838109016418457,0.16194401308894157,0.08060486287979278,11,Bearer,0.4513945327750485,-1.1273188761637518,1.2386849796054424,-1.2659663724779942,False,right,79
307,0.008472103625535965,0.6176268489838391,1.143631100654602,0.21424049139056933,-0.24592921882867813,0.04553983438019613,23,Spur,1.7267583454294126,0.5003733075161475,-0.9429413736661005,2.209884740193218,True,left,86
308,0.007797689642757177,0.3620739479436285,1.0108650922775269,0.040478408336639404,-0.07783586555160582,0.0849522420586051,11,Bearer,0.6240122894802319,0.05433689668089849,2.001869690659447,-1.4742876755465115,False,left,72
309,0.007592726964503527,0.0076727801264861355,1.006406307220459,0.18632143724244088,0.16780680418014526,0.03916053697893242,20,Spur,0.18449939002330729,-0.6498971404624557,-1.461303368309921,0.7960297521679914,True,right,67
310,0.007459965068846941,0.37636742604219103,1.0091098546981812,0.07447838783309635,-0.013595476746559143,0.07600621479979452,11,Bearer,-0.36821627070249,-0.3361513978229706,1.1742358607359837,-1.404255319148936,False,right,129
